====>> Read file list
70000
70000
===> Loading datasets
===> Building model
===> Setting GPU
=> no checkpoint found at 'ckp/model_epoch_100.pth'
===> Setting Optimizer
===> Training
Current lr 0.0001
Epoch=1, lr=0.0001
Epoch:[2/150][3200/5833]	Time: 1.375 (1.337)	Data: 0.000 (0.008)	Loss: 30.532 (23.183)	PNSR: 19.348 (21.800)
Epoch:[2/150][3300/5833]	Time: 1.179 (1.336)	Data: 0.000 (0.008)	Loss: 25.236 (23.176)	PNSR: 21.928 (21.799)
Epoch:[2/150][3400/5833]	Time: 0.834 (1.334)	Data: 0.000 (0.007)	Loss: 21.550 (23.147)	PNSR: 23.459 (21.810)
Epoch:[2/150][3500/5833]	Time: 1.570 (1.333)	Data: 0.000 (0.007)	Loss: 21.435 (23.177)	PNSR: 21.458 (21.799)
Epoch:[2/150][3600/5833]	Time: 1.315 (1.331)	Data: 0.001 (0.007)	Loss: 20.891 (23.175)	PNSR: 22.155 (21.803)
Epoch:[2/150][3700/5833]	Time: 1.043 (1.330)	Data: 0.000 (0.007)	Loss: 22.328 (23.159)	PNSR: 21.295 (21.808)
Epoch:[2/150][3800/5833]	Time: 1.872 (1.329)	Data: 0.000 (0.007)	Loss: 26.305 (23.156)	PNSR: 20.059 (21.810)
Epoch:[2/150][3900/5833]	Time: 1.149 (1.328)	Data: 0.000 (0.007)	Loss: 25.395 (23.157)	PNSR: 20.444 (21.809)
Epoch:[2/150][4000/5833]	Time: 1.270 (1.328)	Data: 0.000 (0.006)	Loss: 23.323 (23.143)	PNSR: 22.500 (21.813)
Epoch:[2/150][4100/5833]	Time: 1.129 (1.326)	Data: 0.000 (0.006)	Loss: 27.574 (23.133)	PNSR: 19.866 (21.817)
Epoch:[2/150][4200/5833]	Time: 1.201 (1.325)	Data: 0.002 (0.006)	Loss: 29.687 (23.102)	PNSR: 19.754 (21.829)
Epoch:[2/150][4300/5833]	Time: 1.699 (1.325)	Data: 0.000 (0.006)	Loss: 20.639 (23.082)	PNSR: 23.395 (21.840)
Epoch:[2/150][4400/5833]	Time: 1.654 (1.324)	Data: 0.000 (0.006)	Loss: 26.476 (23.047)	PNSR: 21.734 (21.852)
Epoch:[2/150][4500/5833]	Time: 0.894 (1.322)	Data: 0.000 (0.006)	Loss: 25.932 (23.035)	PNSR: 20.776 (21.860)
Epoch:[2/150][4600/5833]	Time: 2.026 (1.321)	Data: 0.002 (0.006)	Loss: 22.456 (23.026)	PNSR: 22.090 (21.862)
Epoch:[2/150][4700/5833]	Time: 1.203 (1.321)	Data: 0.000 (0.006)	Loss: 25.609 (23.015)	PNSR: 22.426 (21.864)
Epoch:[2/150][4800/5833]	Time: 1.350 (1.320)	Data: 0.000 (0.005)	Loss: 16.854 (23.002)	PNSR: 24.072 (21.867)
Epoch:[2/150][4900/5833]	Time: 1.481 (1.320)	Data: 0.000 (0.005)	Loss: 20.530 (22.984)	PNSR: 24.367 (21.872)
Epoch:[2/150][5000/5833]	Time: 1.180 (1.319)	Data: 0.000 (0.005)	Loss: 23.934 (22.958)	PNSR: 21.425 (21.881)
Epoch:[2/150][5100/5833]	Time: 1.246 (1.318)	Data: 0.000 (0.005)	Loss: 17.615 (22.940)	PNSR: 23.033 (21.888)
Epoch:[2/150][5200/5833]	Time: 1.046 (1.318)	Data: 0.000 (0.005)	Loss: 20.356 (22.923)	PNSR: 22.242 (21.895)
Epoch:[2/150][5300/5833]	Time: 1.071 (1.318)	Data: 0.001 (0.005)	Loss: 23.703 (22.910)	PNSR: 22.332 (21.900)
Epoch:[2/150][5400/5833]	Time: 0.799 (1.317)	Data: 0.000 (0.005)	Loss: 18.075 (22.883)	PNSR: 22.894 (21.908)
Epoch:[2/150][5500/5833]	Time: 0.828 (1.317)	Data: 0.002 (0.005)	Loss: 24.766 (22.866)	PNSR: 20.752 (21.912)
Epoch:[2/150][5600/5833]	Time: 1.245 (1.317)	Data: 0.000 (0.005)	Loss: 23.291 (22.848)	PNSR: 23.074 (21.921)
Epoch:[2/150][5700/5833]	Time: 1.146 (1.317)	Data: 0.001 (0.005)	Loss: 18.648 (22.840)	PNSR: 24.933 (21.926)
